Altium Designer Pick and Place Locations
C:\Users\User\Desktop\PROJEKTI\120W_DC_SUPPLY\120W_PSU_LM25148\LM25148\Project Outputs for LM25148\Pick Place for LM25148(Only Populated Components).csv

========================================================================================================================
File Design Information:

Date:       03.08.25
Time:       20:19
Revision:   681a22b900e06c1f153e06c78e1c8b908dedef15
Variant:    Only Populated Components
Units used: mm

"Designator","Comment","Layer","Footprint","Footprint Description","Center-X(mm)","Center-Y(mm)","Rotation","Description","Height(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Variation"
"RUV2","14.3kOhm","TopLayer","RES_0603","Chip Resistor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","60.7060","4.8260","90","14.3 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film","0.8000","60.7060","4.8260","60.7060","4.0260","Fitted"
"RUV1","200kOhm","TopLayer","RES_0603","Chip Resistor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","63.1190","5.5880","0","200 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Moisture Resistant Thick Film","0.8000","63.1190","5.5880","62.3190","5.5880","Fitted"
"CN2","TERM BLK PCB LEVER 3.5MM 2POS","TopLayer","CONN2_2601-1102_WAG","","1.7272","13.3350","270","2 Position Wire to Board Terminal Block Horizontal with Board 0.138" (3.50mm) Through Hole","0.0000","1.7272","13.3350","4.2272","15.0850","Fitted"
"CN1","TERM BLK PCB LEVER 3.5MM 2POS","TopLayer","CONN2_2601-1102_WAG","","91.4400","13.3350","90","2 Position Wire to Board Terminal Block Horizontal with Board 0.138" (3.50mm) Through Hole","0.0000","91.4400","13.3350","88.9400","11.5850","Fitted"
"C36","10uF","TopLayer","CAP_1206","Chip Capacitor, 2-Leads, Body 3.20x1.60mm, IPC Medium Density","61.2140","25.7810","90","10 µF ±10% 50V Ceramic Capacitor X7R 1206 (3216 Metric)","0.9000","61.2140","25.7810","61.2140","24.3310","Fitted"
"C35","10uF","TopLayer","CAP_1206","Chip Capacitor, 2-Leads, Body 3.20x1.60mm, IPC Medium Density","58.5470","25.7810","90","10 µF ±10% 50V Ceramic Capacitor X7R 1206 (3216 Metric)","0.9000","58.5470","25.7810","58.5470","24.3310","Fitted"
"C34","10uF","TopLayer","CAP_1206","Chip Capacitor, 2-Leads, Body 3.20x1.60mm, IPC Medium Density","55.7530","25.7810","90","10 µF ±10% 50V Ceramic Capacitor X7R 1206 (3216 Metric)","0.9000","55.7530","25.7810","55.7530","24.3310","Fitted"
"C1","220uF","TopLayer","CAPAE109103X103M","Aluminum Electrolytic Capacitor, Body 10.30x10.30x10.30mm, IPC Low Density","71.3740","7.2390","270","220 µF 35 V Aluminum - Polymer Capacitors Radial, Can - SMD 23mOhm 1000 Hrs @ 150°C","10.3000","71.3740","7.2390","71.3740","11.6140","Fitted"
"MH4","Mounting Hole","TopLayer","HOLE-3mm","","0.0000","0.0000","0","Mounting Hole 3mm","0.0000","2.0320","0.2540","0.0000","0.0000","Fitted"
"MH3","Mounting Hole","TopLayer","HOLE-3mm","","0.0000","26.6700","0","Mounting Hole 3mm","0.0000","-0.7620","25.4000","0.0000","26.6700","Fitted"
"MH2","Mounting Hole","TopLayer","HOLE-3mm","","93.2180","0.0000","0","Mounting Hole 3mm","0.0000","92.7100","-0.2540","93.2180","0.0000","Fitted"
"MH1","Mounting Hole","TopLayer","HOLE-3mm","","93.2180","26.6700","0","Mounting Hole 3mm","0.0000","93.2180","26.6700","93.2180","26.6700","Fitted"
"R4","5mOhm","TopLayer","RES_1020_WIDE","Chip Resistor, 2-Leads, Body 2.54x5.08mm, IPC Medium Density","18.2880","12.7000","180","5 mOhms ±1% 2W Chip Resistor Wide 2010 (5025 Metric), 1020 Anti-Sulfur, Automotive AEC-Q200, Current Sense, Moisture Resistant, Pulse Withstanding Metal Element","0.7700","18.2880","12.7000","19.4130","12.7000","Fitted"
"ZD_RP","DZ23C15-E3-08 Zener Diode","TopLayer","SOT95P245X96-3N","SOT23, 3-Leads, Body 2.90x2.45mm, Pitch 0.95mm, IPC Medium Density","80.2640","13.4620","270","Zener Diode Array 1 Pair Common Cathode 15 V 300 mW ±5% SOT-23-3","0.9600","80.2640","13.4620","81.2140","14.4620","Fitted"
"SD1","BAT54T1G Schottky","TopLayer","SODFL371X135-2N","SODFL, 2-Leads, Body 1.60x3.71mm, IPC Medium Density","50.0380","7.6200","90","Diode 30 V 200mA Surface Mount SOD-123","1.3500","50.0380","7.6200","50.0380","5.9850","Fitted"
"R_RP","47kOhm","TopLayer","RES_0603","Chip Resistor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","83.3120","15.4940","90","47 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Moisture Resistant Thick Film","0.8000","83.3120","15.4940","83.3120","14.6940","Fitted"
"R15","0.2Ohm","TopLayer","RES_1206","","80.5180","3.0480","180","200 mOhms ±1% 0.5W, 1/2W Chip Resistor 1206 (3216 Metric) Current Sense Thick Film","0.0000","80.5180","3.0480","81.9680","3.0480","Fitted"
