Altium Designer Pick and Place Locations
C:\Users\User\Desktop\PROJEKTI\120W_DC_SUPPLY\120W_PSU_LM25148\LM25148\Project Outputs for LM25148\Pick Place for LM25148(Only Populated Components).csv

========================================================================================================================
File Design Information:

Date:       29/10/25
Time:       17:08
Revision:   681a22b900e06c1f153e06c78e1c8b908dedef15
Variant:    Only Populated Components
Units used: mm

"Designator","Comment","Layer","Footprint","Footprint Description","Center-X(mm)","Center-Y(mm)","Rotation","Description","Height(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Variation"
"C24","220uF","TopLayer","CAPAE109103X103M","Aluminum Electrolytic Capacitor, Body 10.30x10.30x10.30mm, IPC Low Density","-76.3552","2.9337","180","220 µF 35 V Aluminum - Polymer Capacitors Radial, Can - SMD 23mOhm 1000 Hrs @ 150°C","10.3000","-76.3552","2.9337","-71.9802","2.9337","Fitted"
"C23","220uF","TopLayer","CAPAE109103X103M","Aluminum Electrolytic Capacitor, Body 10.30x10.30x10.30mm, IPC Low Density","-76.2282","25.4127","180","220 µF 35 V Aluminum - Polymer Capacitors Radial, Can - SMD 23mOhm 1000 Hrs @ 150°C","10.3000","-76.2282","25.4127","-71.8532","25.4127","Fitted"
"C1","330uF","TopLayer","CAPAE109103X103M","Aluminum Electrolytic Capacitor, Body 10.30x10.30x10.30mm, IPC Low Density","-19.2052","16.0147","0","330 µF 50 V Aluminum Electrolytic Capacitors Radial, Can - SMD 120mOhm @ 100kHz 2000 Hrs @ 105°C","10.3000","-19.2052","16.0147","-23.5802","16.0147","Fitted"
"RSN","3 Ohm","TopLayer","RES_0805","","-45.5422","6.1468","90","3 Ohms ±1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Moisture Resistant Thick Film","0.0000","-45.5422","6.1468","-45.5422","5.1968","Fitted"
"RQ4","0 Ohm Jump","TopLayer","RES_0402","","-28.7312","8.5161","180","0 Ohms Jumper Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film","0.0000","-28.7312","8.5161","-28.2512","8.5161","Fitted"
"RQ3","0 Ohm Jump","TopLayer","RES_0402","","-28.7338","7.4239","180","0 Ohms Jumper Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film","0.0000","-28.7338","7.4239","-28.2538","7.4239","Fitted"
"RQ2","0 Ohm Jump","TopLayer","RES_0402","","-28.7020","15.3162","180","0 Ohms Jumper Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film","0.0000","-28.7020","15.3162","-28.2220","15.3162","Fitted"
"RQ1","0 Ohm Jump","TopLayer","RES_0402","","-28.7020","14.2240","180","0 Ohms Jumper Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film","0.0000","-28.7020","14.2240","-28.2220","14.2240","Fitted"
"CSN","1nF","TopLayer","CAP_0805","Chip Capacitor, 2-Leads, Body 2.00x1.25mm, IPC Medium Density","-45.5422","2.2098","90","1000 pF ±10% 100V Ceramic Capacitor X7R 0805 (2012 Metric)","0.6000","-45.5422","2.2098","-45.5422","1.2598","Fitted"
"C22","22uF","TopLayer","CAP_1210","Chip Capacitor, 2-Leads, Body 3.20x2.50mm, IPC Medium Density","-61.1152","4.0767","0","22 µF ±10% 25V Ceramic Capacitor X7R 1210 (3225 Metric)","2.8000","-61.1152","4.0767","-62.5152","4.0767","Fitted"
"C21","22uF","TopLayer","CAP_1210","Chip Capacitor, 2-Leads, Body 3.20x2.50mm, IPC Medium Density","-61.1152","0.5207","180","22 µF ±10% 25V Ceramic Capacitor X7R 1210 (3225 Metric)","2.8000","-61.1152","0.5207","-59.7152","0.5207","Fitted"
"C20","22uF","TopLayer","CAP_1210","Chip Capacitor, 2-Leads, Body 3.20x2.50mm, IPC Medium Density","-61.1122","24.7777","0","22 µF ±10% 25V Ceramic Capacitor X7R 1210 (3225 Metric)","2.8000","-61.1122","24.7777","-62.5122","24.7777","Fitted"
"C19","22uF","TopLayer","CAP_1210","Chip Capacitor, 2-Leads, Body 3.20x2.50mm, IPC Medium Density","-61.1152","28.3337","0","22 µF ±10% 25V Ceramic Capacitor X7R 1210 (3225 Metric)","2.8000","-61.1152","28.3337","-62.5152","28.3337","Fitted"
"C37","0.1uF","TopLayer","CAP_0603","Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","-33.3836","25.7222","270","0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)","0.8000","-33.3836","25.7222","-33.3836","26.5222","Fitted"
"TVS1","TPSMB33CA","TopLayer","DO-214AA","","-3.5560","5.5880","180","45.7V Clamp 13.3A Ipp Tvs Diode Surface Mount DO-214AA (SMBJ)","0.0000","-3.5560","5.5880","-1.0860","5.5880","Fitted"
"R4","5mOhm","TopLayer","SENSE_RES_2512","","-69.5024","14.4700","180","5 mOhms ±1% 2W Chip Resistor 2512 (6332 Metric) Automotive AEC-Q200, Current Sense, Moisture Resistant Metal Element","0.0000","-69.5024","14.4700","-66.6674","14.4700","Fitted"
"Q4","IAUCN04S7L028ATMA1","TopLayer","PG-TDSON-8-33","5.48x5.15","-40.8004","9.2305","0","N-Channel 40 V 100A Surface Mount PG-TDSON-8-33","0.0000","-40.8004","9.3430","-42.5304","6.7980","Fitted"
"Q3","IAUCN04S7L028ATMA1","TopLayer","PG-TDSON-8-33","5.48x5.15","-33.6884","9.2775","0","N-Channel 40 V 100A Surface Mount PG-TDSON-8-33","0.0000","-33.6884","9.3900","-35.4184","6.8450","Fitted"
"Q2","IAUCN04S7L028ATMA1","TopLayer","PG-TDSON-8-33","5.48x5.15","-40.7614","18.6265","0","N-Channel 40 V 100A Surface Mount PG-TDSON-8-33","0.0000","-40.7614","18.7390","-42.4914","16.1940","Fitted"
"Q1","IAUCN04S7L028ATMA1","TopLayer","PG-TDSON-8-33","5.48x5.15","-33.6494","18.6265","0","N-Channel 40 V 100A Surface Mount PG-TDSON-8-33","0.0000","-33.6494","18.7390","-35.3794","16.1940","Fitted"
"RUV2","14.3kOhm","TopLayer","RES_0603","Chip Resistor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","-13.1092","7.7597","0","14.3 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film","0.8000","-13.1092","7.7597","-13.9092","7.7597","Fitted"
"RUV1","200kOhm","TopLayer","RES_0603","Chip Resistor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","-10.9220","10.1980","90","200 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Moisture Resistant Thick Film","0.8000","-10.9220","10.1980","-10.9220","9.3980","Fitted"
"CN2","TERM BLK PCB LEVER 3.5MM 2POS","TopLayer","CONN2_2601-1102_WAG","","-86.5000","13.9620","270","2 Position Wire to Board Terminal Block Horizontal with Board 0.138" (3.50mm) Through Hole","0.0000","-86.5000","13.9620","-84.0000","15.7120","Fitted"
"CN1","TERM BLK PCB LEVER 3.5MM 2POS","TopLayer","CONN2_2601-1102_WAG","","-1.5574","13.9620","90","2 Position Wire to Board Terminal Block Horizontal with Board 0.138" (3.50mm) Through Hole","0.0000","-1.5574","13.9620","-4.0574","12.2120","Fitted"
"C36","10uF","TopLayer","CAP_1206","Chip Capacitor, 2-Leads, Body 3.20x1.60mm, IPC Medium Density","-28.6084","27.8050","90","10 µF ±10% 50V Ceramic Capacitor X7R 1206 (3216 Metric)","0.9000","-28.6084","27.8050","-28.6084","26.3550","Fitted"
"C35","10uF","TopLayer","CAP_1206","Chip Capacitor, 2-Leads, Body 3.20x1.60mm, IPC Medium Density","-31.2754","27.8050","90","10 µF ±10% 50V Ceramic Capacitor X7R 1206 (3216 Metric)","0.9000","-31.2754","27.8050","-31.2754","26.3550","Fitted"
"C34","10uF","TopLayer","CAP_1206","Chip Capacitor, 2-Leads, Body 3.20x1.60mm, IPC Medium Density","-43.2082","27.6987","90","10 µF ±10% 50V Ceramic Capacitor X7R 1206 (3216 Metric)","0.9000","-43.2082","27.6987","-43.2082","26.2487","Fitted"
"ZD_RP","DZ23C15-E3-08 Zener Diode","TopLayer","SOT95P245X96-3N","SOT23, 3-Leads, Body 2.90x2.45mm, Pitch 0.95mm, IPC Medium Density","-5.0800","27.8130","90","Zener Diode Array 1 Pair Common Cathode 15 V 300 mW ±5% SOT-23-3","0.9600","-5.0800","27.8130","-6.0300","26.8130","Fitted"
